,movie,indication_year,number_indications,victories,percentage_victories,tmdb_id,imdb_id,budget,revenue,genres,production_countries
239,Allied,2017,1,0,0.0,369885,tt3640424,85000000,119520023,"['Action', 'Drama', 'War', 'Romance', 'Thriller']","['GB', 'US']"
240,Almost Famous,2001,4,1,25.0,786,tt0181875,60000000,47383689,"['Drama', 'Music']",['US']
241,Aloma of the South Seas,1942,2,0,0.0,183632,tt0033331,0,0,['Adventure'],['US']
242,Alone Yet Not Alone,2014,1,0,0.0,243794,tt1986769,7000000,0,['History'],['US']
243,Along the Rainbow Trail,1946,1,0,0.0,0,False,False,False,False,False
244,Alsino and the Condor,1983,1,0,0.0,0,False,False,False,False,False
245,Altered States,1981,2,0,0.0,11542,tt0080360,15000000,19853892,"['Horror', 'Science Fiction', 'Thriller']",['US']
246,Alvorada (Brazil's Changing Face),1963,1,0,0.0,149283,tt0055742,0,0,['Documentary'],['DE']
247,Always a New Beginning,1974,1,0,0.0,0,False,False,False,False,False
248,Always in My Heart,1943,1,0,0.0,97767,tt0034454,0,0,"['Drama', 'Music']",['US']
249,Ama Girls,1959,1,1,100.0,243179,tt0051339,0,0,['Documentary'],[]
250,Amadeus,1985,11,8,72.72727272727273,279,tt0086879,18000000,51973029,"['Drama', 'History', 'Music']",['US']
251,Amarcord,1975,1,1,100.0,0,False,False,False,False,False
252,Amarcord,1976,2,0,0.0,0,False,False,False,False,False
253,Amazon,1998,1,0,0.0,13796,tt0140803,0,0,['Documentary'],['US']
254,Amazon Diary,1990,1,0,0.0,244709,tt0096798,0,0,[],[]
255,America America,1964,4,1,25.0,47249,tt0056825,0,0,"['Drama', 'History']",['US']
256,American Beauty,2000,8,5,62.5,14,tt0169547,15000000,356296601,['Drama'],['US']
257,American Dream,1991,1,1,100.0,41326,tt0099028,0,269823,['Documentary'],"['GB', 'US']"
258,American Gangster,2008,2,0,0.0,4982,tt0765429,100000000,266465037,"['Drama', 'Crime']","['GB', 'US']"
259,American Graffiti,1974,5,0,0.0,838,tt0069704,777000,140000000,"['Comedy', 'Drama']",['US']
260,American History X,1999,1,0,0.0,73,tt0120586,20000000,23875127,['Drama'],['US']
261,American Hustle,2014,10,0,0.0,168672,tt1800241,40000000,251171807,"['Drama', 'Crime']",['US']
262,American Shoeshine,1977,1,0,0.0,243587,tt0074134,0,0,[],[]
263,American Sniper,2015,6,1,16.666666666666668,190859,tt2179136,58800000,542307423,"['War', 'Action']",['US']
264,American Splendor,2004,1,0,0.0,2771,tt0305206,0,6003587,"['Comedy', 'Drama']",['US']
265,Americas in Transition,1982,1,0,0.0,0,False,False,False,False,False
266,Amistad,1998,4,0,0.0,11831,tt0118607,36000000,74000000,"['Drama', 'History', 'Mystery']",['US']
267,Amores Perros,2001,1,0,0.0,55,tt0245712,2000000,20908467,"['Drama', 'Thriller']",['MX']
268,Amour,2013,5,1,20.0,86837,tt1602620,8900000,29844753,"['Drama', 'Romance']","['FR', 'AT', 'DE']"
